,Timestep,Neural,Maximum,Greedy,Lazy,e-Neural,greedy
769,770.0,700.1478423,51.78752326,51.78771542,701.0153236,71.83905869,
770,771.0,701.0696808,51.78057686,51.77438514,701.938422,71.82797181,
771,772.0,701.9915193,51.76576591,51.7604782,702.8615205,71.89957292,
772,773.0,702.913358,51.77498852,51.80497853,703.7846192,71.9272936,
773,774.0,703.8351967,51.762942,51.79791902,704.7077179,71.94672551,
774,775.0,704.7570356,51.75710744,51.79391204,705.6308167,71.92447566,
775,776.0,705.6788745,51.75917784,51.78622007,706.5539156,71.9713195,
776,777.0,706.6007135,51.75227134,51.79273202,707.4770146,71.97487517,
777,778.0,707.5225527,51.73853736,51.77776802,708.4001137,71.96233175,
778,779.0,708.4443919,51.73710432,51.77149756,709.3232129,71.94114736,
779,780.0,709.3662313,51.74650297,51.77926245,710.2463122,71.91580657,
780,781.0,710.2880707,51.74489256,51.7735281,711.1694116,71.90651575,
781,782.0,711.2099102,51.75897232,51.77541357,712.0925111,71.90755502,
782,783.0,712.1317499,51.75282535,51.78026572,713.0156107,71.96553927,
783,784.0,713.0535896,51.76429877,51.76991766,713.9387104,71.95653867,
784,785.0,713.9754294,51.76583766,51.78342516,714.8618102,71.94721607,
785,786.0,714.8972693,51.7525308,51.78925403,715.7849101,72.13934003,
786,787.0,715.8191094,51.75342403,51.80570971,716.70801,72.17996249,
787,788.0,716.7409495,51.75451254,51.80502935,717.6311101,72.1625511,
788,789.0,717.6627897,51.76182716,51.79809647,718.5542103,72.1489614,
789,790.0,718.58463,51.75177941,51.79349035,719.4773105,72.1547984,
790,791.0,719.5064703,51.75720048,51.77886373,720.4004109,72.13155917,
791,792.0,720.4283108,51.75756291,51.7685478,721.3235113,72.1310857,
792,793.0,721.3501514,51.74699821,51.75615318,722.2466118,72.10868654,
793,794.0,722.2719921,51.752695,51.76807648,723.1697125,72.08738484,
794,795.0,723.1938328,51.74020833,51.7593637,724.0928132,72.05987462,
795,796.0,724.1156737,51.75236692,51.74396627,725.015914,72.04920076,
796,797.0,725.0375146,51.75355366,51.74117936,725.9390149,72.02736504,
797,798.0,725.9593556,51.76733199,51.75367437,726.8621159,72.05155726,
798,799.0,726.8811968,51.76418341,51.75528705,727.785217,72.04276184,
799,800.0,727.803038,51.76893756,51.76550739,728.7083181,72.15393401,
800,801.0,728.7248793,51.76905307,51.77198557,729.6314194,72.14640343,
801,802.0,729.6467207,51.76289721,51.77650123,730.5545207,72.50198846,
802,803.0,730.5685622,51.76052949,51.76287464,731.4776222,72.5005055,
803,804.0,731.4904037,51.77229264,51.75826495,732.4007237,72.50027107,
804,805.0,732.4122454,51.77482295,51.76045626,733.3238253,72.48710732,
805,806.0,733.3340871,51.76407843,51.74881317,734.246927,72.47130044,
806,807.0,734.255929,51.76318143,51.73823693,735.1700288,72.50621812,
807,808.0,735.1777709,51.76026396,51.73410949,736.0931307,72.48143941,
808,809.0,736.0996129,51.77621464,51.72415909,737.0162326,72.47069472,
809,810.0,737.021455,51.78097785,51.72882627,737.9393347,72.46066763,
810,811.0,737.9432972,51.78273492,51.76419448,738.8624368,72.43220759,
811,812.0,738.8651394,51.7778183,51.79268343,739.7855391,72.40614039,
812,813.0,739.7869818,51.77914809,51.78020038,740.7086414,72.43072537,
813,814.0,740.7088242,51.77088509,51.78444753,741.6317438,72.44197306,
